Sessions: 2
cov: 0.01589265467298363	mean: 5456252.0
cov: 0.011954956172845114	mean: 5441742.6
cov: 0.012107285874805866	mean: 5455617.6
cov: 0.015335993949930673	mean: 5464727.6
cov: 0.2711268089579896	mean: 966.6
cov: 0.00707212271562514	mean: 768.0
cov: 0.10200446154028238	mean: 894.2
cov: 0.019212479254920454	mean: 756.6
cov: 0.01964306316596353	mean: 3802.6
cov: 0.016831373767458382	mean: 3770.4
cov: 0.019372943295946892	mean: 3811.8
cov: 0.01874438391906705	mean: 3769.8
cov: 0.018882884231667153	mean: 16628.2
cov: 0.01681359998518057	mean: 16271.6
cov: 0.01555012596674735	mean: 16597.2
cov: 0.015959178446717542	mean: 17177.8
cov: 0.019025327426494005	mean: 801.8
cov: 0.06393222474421355	mean: 782.0
cov: 0.018732606510427272	mean: 782.2
cov: 0.017282163877349904	mean: 739.2
cov: 0.007726515592450256	mean: 4104.0
cov: 0.012155574488500838	mean: 4076.4
cov: 0.018418612395964592	mean: 4170.6
cov: 0.01018022922309579	mean: 3876.4
Sessions: 3
cov: 0.013323646909900313	mean: 34159.4
cov: 0.01694196342310843	mean: 33907.8
cov: 0.016924620409158608	mean: 34673.4
cov: 0.019196056789575897	mean: 34137.8
cov: 0.015589439066445929	mean: 716.6
cov: 0.019171241562747975	mean: 692.0
cov: 0.016268218354986177	mean: 687.8
cov: 0.01586287247430244	mean: 716.0
cov: 0.014838211182888156	mean: 4192.4
cov: 0.017126649853796375	mean: 4212.4
cov: 0.012176787341692408	mean: 4201.4
cov: 0.006991124706973826	mean: 4195.2
cov: 0.011554469124763135	mean: 13756.2
cov: 0.01120100593555652	mean: 15898.4
cov: 0.013798125734565294	mean: 15798.2
cov: 0.01724876357955335	mean: 13982.2
cov: 0.030523958476890118	mean: 646.4
cov: 0.010687412351221304	mean: 767.6
cov: 0.01737301887358885	mean: 768.6
cov: 0.06718973151638263	mean: 672.6
cov: 0.015351595939706336	mean: 4151.2
cov: 0.015252494452243885	mean: 4306.0
cov: 0.015010756484866342	mean: 4365.8
cov: 0.011747886379781271	mean: 4398.0
Sessions: 4
cov: 0.011164907114343899	mean: 33765.6
cov: 0.01240701570441533	mean: 33873.8
cov: 0.006618393832110965	mean: 33906.8
cov: 0.014641264326699705	mean: 33756.2
cov: 0.02699636674826645	mean: 777.0
cov: 0.017169831392284632	mean: 687.4
cov: 0.019830777095950627	mean: 722.0
cov: 0.013038848447411515	mean: 705.0
cov: 0.007973315559065448	mean: 4070.4
cov: 0.019746082868036748	mean: 5060.8
cov: 0.010412230532475343	mean: 4118.8
